Наименование товара,ID Маркетплейс,Артикул поставщика,Мерчант,Описание,Торговая марка (бренд),Штрих-код,"Размеры в упаковке: ширина, мм","Размеры в упаковке: длина, мм","Размеры в упаковке: высота, мм","Вес в упаковке, кг",Страна-производитель,Короткое название для чека,Название для листинга,Название для сайта,ID Товара в ERP мерчанта,Дизайн,Вес без упаковки (кг),Материал основы,Материал верха,Влагостойкость,Рельеф,Назначение,Тип клея,Марка,Подбор рисунка,Цвет,Высота рисунка (см),Ширина рисунка (см)
"Юрский период 036-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000354,036-13-DE,ООО РЕГИОНПРОЕКТ,"<p>ФотоОбои dECOcode «Юрский период» 036-13-DE с виниловым покрытием и флизелиновой основой ложатся без усадки, сохраняют форму и обладают устойчивостью к повреждениям. Фрагменты изображения хорошо стыкуются между собой, благодаря фактуре скрывают неровности стен. При создании полотна компания «Регион Проект» применяет современную технологию печати, позволяющую получать качественные четкие рисунки, которые остаются яркими под лучами солнца. Матовая поверхность препятствует возникновению бликов и отталкивает влагу, поэтому ее можно протирать губкой, смоченной в воде без добавления бытовых средств, предназначенных для чистки.</p>",Регион проект,4627126674647,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 036-13-DE,Фотообои DECOCODE Юрский период 036-13-DE,"Фотообои «Юрский период», флизелиновые, 130х250 см, 90000354",95268d88-37d5-11e8-248f-001eb4447289,,,,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
"Снежные вершины 058-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000375,058-13-DE,ООО РЕГИОНПРОЕКТ,"ФотоОбои на флизелиновой основе «Снежные вершины» станут яркой деталью интерьера вашей спальни или гостиной. Для идеального результата фрагменты фотопанно нужно склеить «встык», что очень легко сделать благодаря высокому качеству нарезки листов. Виниловое покрытие в сочетании с ярким рисунком сделает все неровности на ваших стенах незаметными.

Преимущества фотообоев «Снежные вершины» от фабрики «Регион Проект»:

● простота наклеивания и демонтажа благодаря флизелиновой основе — фотоОбои легко наклеиваются, а снимаются цельными листами;
● виниловое покрытие защищает яркий принт от выгорания на солнце;
● фотопанно изготовлено из гипоаллергенных и безопасных материалов;
● качественная фотопечать, передающая мельчайшие нюансы.",Регион проект,4627126674944,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 058-13-DE,Фотообои DECOCODE Снежные вершины 058-13-DE,"Фотообои «Снежные вершины», флизелиновые, 130х250 см, 90000375",503cf424-37de-11e8-248f-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
"Райское утро 048-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000366,048-13-DE,ООО РЕГИОНПРОЕКТ,"<p><p>Виниловые фотоОбои dECOcode «Райское утро» 048-13-DE бренда «Регион Проект» на флизелиновой основе отличаются высокой прочностью, гладкостью и стойкостью к механическим повреждениям. Они сохраняет форму и целостность при высыхании, легко клеятся и остаются насыщенными цветом под воздействием прямых солнечных лучей. Яркий, четкий рисунок будет виден в мельчайших деталях за счет матовой антибликовой поверхности. Благодаря современной технологии печати Обои можно мыть влажной губкой с применением привычных бытовых средств. Фактурное полотно способно визуально скрыть шероховатости и мелкие трещины на стенах.</p>",Регион проект,4627126674838,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 048-13-DE,Фотообои DECOCODE Райское утро 048-13-DE,"Фотообои «Райское утро», флизелиновые, 130х250 см, 90000366",fb6b0f0e-37dc-11e8-248f-001eb4447289,,,,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
"Нео 003-26-DE Фотообои dECOcode Флизелин (2,6*2,5) (1)",90000294,003-26-DE,ООО РЕГИОНПРОЕКТ,"<p>Фотообои Decocode «Нео» 003-26-DE бренда «Регион проект» изготовлены с использованием высокоточной печати на современном оборудовании, поэтому рисунок остется ярким на солнце, а материал устойчив к механическому воздействию. Полотно фактурное, матовое, плотное, сохраняет форму, его можно сразу клеить на стены с малозаметными дефектами на поверхности. Обои не нуждаются в предварительной пропитке клеем. Изображение легко стыкуется в процессе нанесения без зазоров. Для максимально бережной транспортировки рулон упакован в индивидуальную ударопрочную тубу. Полотно легко очищается влажной мягкой тканью или губкой без применения моющих средств.</p><p></p>",Регион проект,4627126674128,100,100,1300,7.2,Бельгия,Фотообои DECOCODE 003-26-DE,Фотообои DECOCODE Нео 003-26-DE,"Фотообои «Нео», флизелиновые, 260х250 см, 90000294",a32f7ed0-3703-11e8-6985-001eb4447289,,,,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
Тайный сад Фотообои DECOCODE холст 32-0039-HH (1),90000615,32-0039-HH,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Тайный сад» с крупным цветочным рисунком выполнены с рельефом, напоминающим холст. Изображение крупного предмета на заднем плане визуально расширит пространство помещения. В сочетании с другими материалами и элементами декора полотно оптимально подойдет для оформления гостиной, спальни, холла.
Выполненные на флизелиновой основе с виниловым покрытием, Обои «Тайный сад» фабрики «Регион проект» обладают рядом преимуществ:
• Плотные и прочные, устойчивы к механическому воздействию.
• Просты в уходе: могут подвергаться влажной уборке с моющими средствами.
• Устойчивы к выгоранию.
• После нанесения на стену сохраняют форму.",Регион проект,4627126671370,100,100,1000,2.2,Россия,Фотообои DECOCODE 32-0039-HH,Фотообои DECOCODE 32-0039-HH,"Фотообои «Тайный сад», виниловые, 300х200 м, 90000615",7f86cb34-15e7-11e7-7c82-52ffaa000002,,,,,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
"Весеннее настроение 022-26-DE Фотообои dECOcode Флизелин (2,6*2,5) (1)",90000329,022-26-DE,ООО РЕГИОНПРОЕКТ,"<p><p>Виниловые фотоОбои dECOcode «Весеннее настроение» 022-26-DE бренда «Регион Проект» с ярким красочным принтом подойдут для декора спальни, гостиной, а также кухни или прихожей. Особая текстура покрытия визуально исправляет недостатки ремонта, в том числе незначительные неровности, трещины и шероховатости. Флизелиновая основа обладает высокой плотностью и гладкостью, что дает возможность не тратить время на пропитку клеем. Полотно сохраняет текстуру и форму под воздействием изменений температуры и влажности, а также цвет под прямыми солнечными лучами. Материал прост в уходе: его можно очищать и мыть влажной губкой с использованием бытовой химии.</p>",Регион проект,4627126674692,100,100,1300,7.2,Бельгия,Фотообои DECOCODE 022-26-DE,Фотообои DECOCODE Весеннее настроение 022-26-DE,"Фотообои «Весеннее настроение», флизелиновые, 260х250 см, 90000329",2376f6ee-370a-11e8-6985-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,,dECOcode,,,,
"Парижский дождь 023-26-DE Фотообои dECOcode Флизелин (2,6*2,5) (1)",90000331,023-26-DE,ООО РЕГИОНПРОЕКТ,"<p>Флизелиновые фотоОбои Decocode «Парижский дождь» 023-26-DE бренда «Регион проект» легко клеятся даже на неровные и шероховатые стены. Полотно имеет виниловое покрытие, плотное и устойчивое к истиранию, сохраняет форму и отталкивает влагу. За поверхностью легко ухаживать, достаточно протереть ее влажной тканью или губкой при уборке. Рисунок устойчив в прямым солнечным лучам, годами сохраняет яркость. Для оптимального результата нанесите обойный клей на стену валиком с мелким ворсом, подождите 2 минуты и приступайте к наклеиванию полотна. В течение первых суток избегайте сквозняка в помещении.<p>",Регион проект,4627126674715,100,100,1300,7.2,Бельгия,Фотообои DECOCODE 023-26-DE,Фотообои DECOCODE Парижский дождь 023-26-DE,"Фотообои «Парижский дождь», флизелиновые, 260х250 см, 90000331",66cf1ab6-370a-11e8-6985-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
В саду Фотообои DECOCODE 31-0269-PG (1),90000593,31-0269-PG,ООО РЕГИОНПРОЕКТ,"Буйство красок на фотообоях «В саду» смягчено оттенками натурального дерева на переднем плане. Если повторить их в интерьере, а логичнее всего сделать это с деревянной мебелью, то более мелкие детали могут быть тоже насыщенных ярких цветов. ФотоОбои «В саду» фабрики «Регион проект» прослужат долго, так как характеризуются:
• устойчивостью к механическим повреждениям;
• устойчивостью к температурным перепадам и свету;
• сохранением формы и красок;
• простотой в уходе.",Регион проект,4627087327248,100,100,1000,2.2,Россия,Фотообои DECOCODE 31-0269-PG,Фотообои DECOCODE 31-0269-PG,"Фотообои «В саду», виниловые, 300х280 см, 90000593",0bbe32ad-0850-11e5-bb61-5404a6d27925,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
"Идеальное утро 049-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000367,049-13-DE,ООО РЕГИОНПРОЕКТ,"Флизелиновые Обои «Идеальное утро» украсят интерьер спальни в классическом или современном стиле. Рисунок подойдет и для других комнат в квартире. С помощью такого покрытия можно визуально углубить пространство, расставить акценты. Поверхность гладкая, приятная на ощупь. Обои клеятся быстро и с минимальным расходом клея, так как его нужно наносить только на стену. А еще у флизелиновых фотообоев «Идеальное утро» от фабрики «Регион проект» такие преимущества:
• прочность;
• долговечность;
• переносят сухую и влажную уборку;
• легкость демонтажа (снимаются целыми полотнами).",Регион проект,4627126674845,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 049-13-DE,Фотообои DECOCODE Идеальное утро 049-13-DE,"Фотообои «Идеальное утро», флизелиновые, 130х250 см, 90000367",259c599a-37dd-11e8-248f-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
Лесной олень Фотообои DECOCODE 32-0006-PG (1),90000604,32-0006-PG,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Лесной олень» хорошо подходят для оформления интерьера спален и других помещений в спокойных тонах. Рисунок позволяет создать приятную атмосферу и представить себя в тихом лесу среди дикой природы. Матовая поверхность с текстурой вельвета не дает блики на солнце, позволяя детально рассмотреть рисунок под разным углом.
Среди преимуществ виниловых фотообоев на флизелиновой основе «Лесной олень» от фабрики «Регион проект» можно выделить:
• Легкий и быстрый процесс монтажа благодаря прочности полотна.
• ФотоОбои скрывают мелкие недостатки стен.
• Рисунок сохраняет яркость на солнце, сохраняя яркость и четкость.
• Отталкивает влагу – поверхность можно аккуратно протирать смоченной губкой без чистящих средств.",Регион проект,4627126670694,100,100,1000,8.8,Россия,Фотообои DECOCODE 32-0006-PG,Фотообои DECOCODE 32-0006-PG,"Фотообои «Лесной олень», виниловые, 300х200 см, 90000604",073bdb44-afbf-11e6-078a-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Озеро Рица Фотообои DECOCODE 31-0045-PL (1),90000572,31-0045-PL,ООО РЕГИОНПРОЕКТ,"<p>Виниловые фотоОбои на флизелиновой основе «Озеро Рица» добавят умиротворения в интерьер помещения. За счет универсальности рисунка, их можно клеить в любом помещении (спальне, кухне, столовой, прихожей или гостиной). Перспектива в пейзаже подобрана удачно, с ее помощью можно визуально расширить границы помещения и сделать его просторнее.
Поверхность обоев фактурная, рельеф напоминает велюр, который хорошо виден вблизи. Издалека же рисунок выглядит монолитным, без стыков. Что касается дополнительных преимуществ фотообоев «Озеро Рица» фабрики «Регион проект», то они такие:
• долговечность;
• качество печати;
• стойкость к повреждениям;
• безопасность;
• простота в использовании.",Регион проект,4627087324100,100,100,1000,2.2,Россия,Фотообои DECOCODE 31-0045-PL,Фотообои DECOCODE 31-0045-PL,"Фотообои «Озеро Рица», виниловые, 300х280 см, 90000572",f58e3804-5ce4-11e4-b261-002590f180b5,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
"Макро 017-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000319,017-13-DE,ООО РЕГИОНПРОЕКТ,"<p><p>Виниловые фотоОбои dECOcode «Макро» 017-13-DE с флизелиновой основой имеют высокую плотность, поэтому их можно клеить на стены с мелкими неровностями и трещинами. Фрагменты полотна идеально стыкуются между собой, создавая цельное детализированное изображение. Технология цифровой печати, применяемая компанией «Регион Проект» при изготовлении обоев, обеспечивает стойкость рисунка — он сохраняет яркость в течение длительного времени даже при нахождении на солнце. Появлению бликов препятствует матовая поверхность. Для осуществления ухода достаточно периодически протирать ее влажной салфеткой без использования чистящих средств.</p>",Регион проект,4627126674449,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 017-13-DE,Фотообои DECOCODE Макро 017-13-DE,"Фотообои «Макро», флизелиновые, 130х250 см, 90000319",5d10c772-37d2-11e8-248f-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
"Старый форт 066-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000382,066-13-DE,ООО РЕГИОНПРОЕКТ,"Фотопанно «Старый форт» дополнит интерьер гостиной или зала принтом с яркими и чарующими видами. Создавая эффект присутствия, фотоОбои визуально увеличат любое помещение. Для того чтобы добиться максимально реалистичного эффекта, фрагменты фотопанно нужно приклеивать «встык». Сделать это легко благодаря высокому качеству продукции фабрики «Регион проект». Кроме того, фотоОбои «Старый форт» обладают следующими преимуществами:

● благодаря яркому принту возможные неровности на ваших стенах будут менее заметны;
● просты в эксплуатации и демонтаже, так как легко очищаются сухой губкой, а снимаются со стен целыми листами.
● качественная фотопечать с точной цветопередачей;
● гипоаллергенны и абсолютно безопасны.",Регион проект,4627126675101,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 066-13-DE,Фотообои DECOCODE Старый форт 066-13-DE,"Фотообои «Старый форт», флизелиновые, 130х250 см, 90000382",010d03a0-37dc-11e8-248f-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
Гравюра Фотообои DECOCODE 22-0011-AB (1),90000550,22-0011-AB,ООО РЕГИОНПРОЕКТ,"Черно-белые <p>Виниловые фотоОбои «Гравюра» с видом старого города универсальны. Нейтральный оттенок и красивый пейзаж будут гармонично выглядеть и на кухне, и в гостиной, и даже в спальне. За счет сочетания темного и светлого цветов с их помощью можно визуально расширить пространство и наклеить в маленькой прихожей или в коридоре. С ними хорошо сочетается светлая и темная мебель без лишних деталей.
Основными достоинствами обоев «Гравюра» фабрики «Регион проект» можно назвать:
• легкость в использовании (клей нужно наносить только на стену);
• долговечность материала;
• прочность полотен;
• универсальность (подходят под разные интерьеры);
• практичность (фактура полотна визуально скрывает неровности стен).",Регион проект,4627126670526,100,100,1000,6.56,Россия,Фотообои DECOCODE 22-0011-AB,Фотообои DECOCODE 22-0011-AB,"Фотообои «Гравюра», виниловые, 200х200 см, 90000550",d62da756-afb6-11e6-1186-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
"Ночной город 010-26-DE Фотообои dECOcode Флизелин (2,6*2,5) (1)",90000306,010-26-DE,ООО РЕГИОНПРОЕКТ,"Изображение ночного города, покоряющего красотой уличных огней – хорошее решение для гостиной или спальни. Темные тона этого фотопанно подчеркнут достоинства светлой мебели, помогут разграничить пространство. Благодаря особой технологии нанесения рисунок сохранит свою яркость на долгие годы, а флизелиновая основа обеспечит фотообоям «Ночной город» целый ряд преимуществ:
• долговечность, устойчивость к механическим повреждениям;
• подходят для любых типов поверхности, маскируют мелкие неровности стены;
• легко чистятся сухой губкой или пылесосом;
• демонтируются без предварительного смачивания.",Регион проект,4627126674326,100,100,1300,7.2,Бельгия,Фотообои DECOCODE 010-26-DE,Фотообои DECOCODE Ночной город 010-26-DE,"Фотообои «Ночной город», флизелиновые, 260х250 см, 90000306",96203c0a-3705-11e8-6985-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
Вернацца Фотообои DECOCODE 31-0187-KL (1),90000583,31-0187-KL,ООО РЕГИОНПРОЕКТ,"С фотообоями «Вернацца» в вашем доме будет царить умиротворяющая атмосфера итальянского приморского городка. Полотно отличается большим разнообразием и насыщенностью цветов, в нем много деталей. Поэтому от остального интерьера требуется роль достойного обрамления. А еще нужны стулья, кресла, диван нейтральных оттенков. Сидя в них, можно будет с комфортом рассматривать свою домашнюю Италию. Расположение на трех листах предполагает комнату большого размера. ФотоОбои «Вернацца» фабрики «Регион проект», как всегда, радует высоким качеством, на этот раз с такими особенностями:
• флизелиновая подложка и виниловое покрытие;
• фактура поверхности «вельвет»;
• поклейка флизелиновым клеем.",Регион проект,4627087326135,100,100,1000,2.2,Россия,Фотообои DECOCODE 31-0187-KL,Фотообои DECOCODE 31-0187-KL,"Фотообои «Вернацца», виниловые, 300х280 см, 90000583",47a14c47-5ce4-11e4-b261-002590f180b5,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
"Искусство 001-26-DE Фотообои dECOcode Флизелин (2,6*2,5) (1)",90000290,001-26-DE,ООО РЕГИОНПРОЕКТ,"С фотообоями «Искусство» получится разнообразить интерьеры в классическом стиле. Их можно использовать как в качестве единственного акцента, так и дополнить уже имеющиеся. Рисунок на обоях поможет зонировать пространство. На их фоне отлично будет выглядеть деревянная мебель.
А основными преимуществами флизелиновых фотообоев «Искусство» фабрики «Регион проект» считаются:
• возможность окрашивания (если вам надоест рисунок и захочется закрасить его краской);
• легкость демонтажа (полотна снимаются целыми);
• флизелиновая основа не собирает пыль (важно для аллергиков);
• стойкость к влаге (переносят влажную уборку);
• способность скрывать небольшие неровности стен.",Регион проект,4627126674098,100,100,1300,7.2,Бельгия,Фотообои DECOCODE 001-26-DE,Фотообои DECOCODE Искусство 001-26-DE,"Фотообои «Искусство», флизелиновые, 260х250 см, 90000290",98db525c-3653-11e8-ed8e-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
"Городской горизонт 008-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000302,008-13-DE,ООО РЕГИОНПРОЕКТ,"<p><p>Виниловые фотоОбои dECOcode «Городской горизонт» 008-13-DE легко сцепляются со стеной и наклеиваются без заломов и неровностей. Влагоотталкивающая флизелиновая основа остается целой и ровной. Фрагменты рисунка отлично стыкуются на поверхности даже без миллиметровых зазоров. Изображение нанесено с помощью специальной цифровой технологии, которая обеспечивает яркость и насыщенность картинки. Матовое покрытие защищает от бликов при солнце или электрическом свете. Высокая плотность материала (215 г/кв м) делает его устойчивым к механическим повреждениям. При необходимости для очистки полотна бренда «Регион Проект» достаточно протереть его влажной губкой.</p>",Регион проект,4627126674227,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 008-13-DE,Фотообои DECOCODE Городской горизонт 008-13-DE,"Фотообои «Городской горизонт», флизелиновые, 130х250 см, 90000302",ba311ad8-37cd-11e8-248f-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
Амстердам Фотообои DECOCODE 31-0278-WL (1),90000595,31-0278-WL,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Амстердам» сделаны в классическом дизайне из тематики «Вокруг света» и подходят для любых типов помещений. Их матовая поверхность не отбрасывает блик на свету, поэтому рисунок хорошо виден при любой погоде. Изображение напечатано на фактурной поверхности, которая имитирует вельвет, а значит, полотно позволяет скрыть некоторые недостатки и неровности стены.
Преимущества виниловых фотообоев на флизелиновой основе «Амстердам» от фабрики «Регион проект»:
• Плотное и прочное полотно легко приклеивается.
• После монтажа Обои сохраняют форму.
• Сохраняют насыщенность цветов на солнце.
• Могут аккуратно очищаться влажной губкой.",Регион проект,4627087327330,100,100,1000,2.2,Росиия,Фотообои DECOCODE 31-0278-WL,Фотообои DECOCODE 31-0278-WL,"Фотообои «Амстердам», виниловые, 300х280 см, 90000595",868cda39-02bf-11e5-bb61-5404a6d27925,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
Тоскана Фотообои DECOCODE 41-0202-YE (1),90000627,41-0202-YE,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Тоскана» от фабрики «Регион проект» с изображением архитектуры и пейзажа выполнены в коричнево-зеленой гамме. Яркие насыщенные цвета подойдут для декорирования гостиной, кухни, детской. В сочетании с монохромными моделями полотно визуально увеличит пространство комнаты.
ФотоОбои из коллекции выполнены на флизелиновой основе с верхним слоем из винила обладают рядом достоинств, выгодно отличающих их от бумажных материалов:
• прочные и эластичные сохраняют форму в процессе работы.
• маскируют небольшие неровности стен.
• устойчивые к влаге, благодаря чему можно проводить влажную чистку.
• сохраняют насыщенность цветов и сохраняют яркость красок до 10 лет.",Регион проект,4627087326289,100,100,1000,2.76,Россия,Фотообои DECOCODE 41-0202-YE,Фотообои DECOCODE 41-0202-YE,"Фотообои «Тоскана», виниловые, 400х280 см, 90000627",30a31fe4-5ce5-11e4-b261-002590f180b5,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
"Севилья 035-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000353,035-13-DE,ООО РЕГИОНПРОЕКТ,"<p>ФотоОбои dECOcode «Севилья» 035-13-DE бренда «Регион Проект» позволяют буквально отправиться в путешествие по Испании, буквально сидя на удобном диване или кресле. Высококачественные цифровые технологии позволяют нанести на флизелиновую основу, отличающуюся особой прочностью и долговечностью, самые реалистичные изображения. В дополнение к этому материал покрывается винилом, что обеспечивает возможность очищать поверхность с помощью влажной губки без использования химических средств. Особая фактура позволяет скрывать малозаметные изъяны стен за счет рельефной структуры полотна.</p>",Регион проект,4627126674630,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 035-13-DE,Фотообои DECOCODE Севилья 035-13-DE,"Фотообои «Севилья», флизелиновые, 130х250 см, 90000353",73f1f530-37d5-11e8-248f-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
Впечатления Фотообои DECOCODE 91-0468-WY (1),90000940,91-0468-WY,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Впечатления» представляют ряд изображений, созданных во время путешествий. Идея, воплощенная в эффектном декоративном покрытии, поможет создать оригинальный интерьер. 
В чем заключаются преимущества виниловых обоев «Впечатления» производства компании «Регион Проект»:
● защитная пленка предохраняет декоративные полотна от разрушающего воздействия влаги и солнечных лучей;
● прочное покрытие сохраняет форму при нанесении его на стену;
● материал позволяет проводить влажную очистку.",Регион проект,4627087329334,100,100,1000,1.08,Россия,Фотообои DECOCODE 91-0468-WY,Фотообои DECOCODE 91-0468-WY,"Фотообои «Впечатления», виниловые, 91х211 см, 90000940",aca27fb8-f645-11e5-5884-52ffaa000002,,,флизелин,винил,обычные,есть,,"флизелиновый, наносится на стены",dECOcode,,,,
"Трепет 024-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000332,024-13-DE,ООО РЕГИОНПРОЕКТ,"<p>ФотоОбои dECOcode «Трепет» 024-13-DE выполнены методом наслаивания целлюлозных и текстильных волокон, которые зафиксированы химическим составом. Такая производственная технология позволяет получить прочное эластичное покрытие с тканевой фактурой, которое легко наносится на стену, обработанную клеем. Рельефность изделия способна скрыть малозаметные неровности, трещины и другие изъяны ремонта. Материал долго сохраняет внешний вид, яркость и четкость изображения. Способность отталкивать влагу позволяет ухаживать за обоями бренда «Регион Проект» при помощи обычной влажной очистки мягкой губкой.</p>",Регион проект,4627126674517,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 024-13-DE,Фотообои DECOCODE Трепет 024-13-DE,"Фотообои «Трепет», флизелиновые, 130х250 см, 90000332",89b09a86-37d3-11e8-248f-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
"Мелодия 019-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000323,019-13-DE,ООО РЕГИОНПРОЕКТ,"<p>ФотоОбои dECOcode «Мелодия» 019-13-DE с виниловым покрытием и флизелиновой основой обладают высокой плотностью, поэтому сохраняют плотность и целостность. Полотно можно клеить на стены с малозаметными дефектами — фактурный рисунок скроет неровности и трещинки. Матовая поверхность препятствует появлению бликов, а изображение, нанесенное с помощью современных технологий печати, остается насыщенным под прямыми лучами солнца и сохраняет яркость цвета. Обои, произведенные компанией «Регион Проект», устойчивы к механическим повреждениям, отталкивают загрязнения, выдерживают влажную уборку без применения бытовых химических средств.</p>",Регион проект,4627126674463,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 019-13-DE,Фотообои DECOCODE Мелодия 019-13-DE,"Фотообои «Мелодия», флизелиновые, 130х250 см, 90000323",a5f945fe-37d2-11e8-248f-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
"Экстрим 032-26-DE Фотообои dECOcode Флизелин (2,6*2,5) (1)",90000348,032-26-DE,ООО РЕГИОНПРОЕКТ,"ФотоОбои «Экстрим» можно использовать в интерьере любой комнаты: гостиной, детской, прихожей и т.д. Они прекрасно подойдут тем, кто желает креативно оформить помещение. С их помощью можно зонировать пространство или создать эффектный акцент. Благодаря многообразию расцветок к этой модели несложно будет подобрать Обои-компаньоны или другое декоративное покрытие.
Достоинства флизелиновых фотообоев «Экстрим» производства компании «Регион Проект»:
• за счет плотной основы и рисунка они скроют небольшие дефекты поверхностей стен, такие как неровности, шероховатости;
• срок службы этого декоративного покрытия составляет не менее 10 лет, в течение которых они будут радовать взгляд эстетичным видом;
• освежить покрытие можно с помощью влажной тряпочки, убрав пыль.",Регион проект,4627126675019,100,100,1300,7.2,Бельгия,Фотообои DECOCODE 032-26-DE,Фотообои DECOCODE Экстрим 032-26-DE,"Фотообои «Мелодия», флизелиновые, 260х250 см, 90000348",1ffc52aa-370c-11e8-6985-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
"Белая орхидея 030-13-DE Фотообои dECOcode Флизелин (1,3*2,5) (1)",90000343,030-13-DE,ООО РЕГИОНПРОЕКТ,"На фотоОбои «Белая орхидея» из коллекции DECOCODE нанесено крупное изображение цветка. Светлый фон в сочетании с монохромными отделочными материалами или элементами мебели подойдет для оформления гостиной, спальни, кухни, ванной комнаты, привлекая внимание к отдельным деталям интерьера.
Верхний и нижний слой полотна выполнены из целлюлозных волокон с добавками. Это дает флизелиновым фотообоям «Белая орхидея» от фабрики «Регион проект» целый ряд преимуществ:
• маскируются мелкие дефекты стен;
• длительность эксплуатации;
• можно чистить щеткой или пылесосом;
• экологическая безопасность.",Регион проект,4627126674579,100,100,1300,4.8,Бельгия,Фотообои DECOCODE 030-13-DE,Фотообои DECOCODE Белая орхидея 030-13-DE,"Фотообои «Белая орхидея», флизелиновые, 130х250 см, 90000343",5c924864-37d4-11e8-248f-001eb4447289,,,флизелин,флизелин,обычные,гладкие,,"флизелиновый, наносится на стены",dECOcode,,,,
