Наименование товара,ID Маркетплейс,Артикул поставщика,Мерчант,Описание,Торговая марка (бренд),Штрих-код,"Размеры в упаковке: ширина, мм","Размеры в упаковке: длина, мм","Размеры в упаковке: высота, мм","Вес в упаковке, кг",Страна-производитель,Короткое название для чека,Название для листинга,Название для сайта,ID Товара в ERP мерчанта,Дизайн,Вес без упаковки (кг),Материал основы,Материал верха,Влагостойкость,Рельеф,Назначение,Тип клея,Марка,Подбор рисунка,Цвет,Высота рисунка (см),Ширина рисунка (см)
Фотообои на бумаге3.68м*2.54м арт 183P8 (4части),90051122,183P8,ООО Соло Декор,"<p>Фотообои на бумаге 183P8 торговой марки For Wall имеют высокодетализированный принт, который наносят по особой технологии печати, способствующей сохранению яркости рисунка в течение длительного времени. Покрытие можно применять для зонирования гостиной или спальни, а также других помещений с низкой влажностью. В процессе производства используют прочные экологически чистые материалы, исключающие деформирование полотна при наклеивании на стену. Четыре части необходимо фиксировать на рабочей поверхности с помощью специального связующего состава для бумажных обоев и аккуратно разглаживать мягким валиком с целью удаления складок и пузырей.</p>",For Wall,5901383401833,0.18,0.26,1.15,1.6,Польша,Фотообои For Wall 183P8,Фотообои For Wall 183P8,"Фотообои «For Wall», бумажные, 368×254 см, 90051122",89c7963d-0deb-11e6-80cb-005056011608,города,,бумага,бумага,,,,,For Wall,,,2.54,3.68
Фотообои на бумаге3.68м*2.54м арт 3255P8 (4части),90051033,3255P8,ООО Соло Декор,"<p>Фотообои на бумаге 3255P8 изготовлены польской фирмой For Wall из экологичных материалов, пропускающих воздух и не задерживающих влагу. Легкое полотно плотно прилегает к поверхности: при нанесении обои не рвутся, хорошо фиксируются на стене без образования пузырей, имеют долгий срок службы при надлежащем уходе. Поверхность гладкая, с четким рисунком высокого разрешения, длительно сохраняющим яркость под воздействием прямых лучей света. Изображение требует сопоставления и приклеивается строго встык. При необходимости рекомендована сухая очистка обоев от пыли и загрязнений.</p>",For Wall,5902066256955,0.18,0.26,1.15,1.6,Польша,Фотообои For Wall 3255P8,Фотообои For Wall 3255P8,"Фотообои «For Wall», бумажные, 368×254 см, 90051033",a0998ac6-0df2-11e6-80cb-005056011608,модерн,,бумага,бумага,,,,,For Wall,,,2.54,3.68
Фотообои на бумаге3.68м*2.54м арт 226P8 (4части),90051035,226P8,ООО Соло Декор,"<p>Фотообои на бумаге 226P8 торговой марки For Wall изготовлены из прочных экологически чистых материалов, поэтому оптимальны для зонирования жилых комнат и помещений с низким уровнем влажности. Высокодетализированный принт получают с помощью особой технологии печати, которая способствует сохранению яркости и первоначального цвета рисунка в течение длительного времени. Перед наклеиванием элементов полотна на них наносят специальное связующее вещество. После этого составные части встык фиксируют на рабочей поверхности и тщательно разглаживают мягким валиком, что необходимо для удаления складок, пузырей и других неровностей.</p>",For Wall,5901383482269,0.18,0.26,1.15,1.6,Польша,Фотообои For Wall 226P8,Фотообои For Wall 226P8,"Фотообои «For Wall», бумажные, 368×254 см, 90051035",a67cf3fc-0ded-11e6-80cb-005056011608,города,,бумага,бумага,,,,,For Wall,,,2.54,3.68
Фотообои на бумаге3.68м*2.54м арт 235P8 (4части),90051075,235P8,ООО Соло Декор,"<p>Фотообои на бумаге 235P8 бренда For Wall представляют собой покрытие, состоящее из четырех одинаковых по размеру элементов, которые наклеивают на стену встык с помощью связующего состава и аккуратно разглаживают резиновым валиком с целью удаления всех неровностей. Экологически чистые высококачественные материалы пропускают воздух и исключают впитывание посторонних неприятных запахов, а также придают полотну прочность и способствуют его простой фиксации на поверхности. Яркий рисунок наносят по особой технологии печати, в результате чего насыщенный цвет детализированного принта сохраняется даже под воздействием солнечных лучей.</p>",For Wall,5901383469437,0.18,0.26,1.15,1.6,Польша,Фотообои For Wall 235P8,Фотообои For Wall 235P8,"Фотообои «For Wall», бумажные, 368×254 см, 90051075",6152840b-0dee-11e6-80cb-005056011608,города,,бумага,бумага,,,,,For Wall,,,2.54,3.68
Фотообои на бумаге3.68м*2.54м арт 3144P8 (4части),90050936,3144P8,ООО Соло Декор,"<p>Фотообои на бумаге 3144P8 бренда For Wall имеют яркий детализированный принт, сохраняющий насыщенный цвет в течение длительного времени даже при воздействии прямых солнечных лучей и других негативных факторов внешней среды. Полотно из экологически чистых материалов оптимально для зонирования пространства жилых комнат и кабинетов, а также помещений с низким уровнем влажности. Покрытие состоит из четырех частей, которые фиксируют на стене с помощью специального клея и разглаживают резиновым валиком, чтобы ровно состыковать элементы и устранить складки. Производитель рекомендует очищать бумажные обои сухой салфеткой.</p>",For Wall,5902066245942,0.18,0.26,1.15,1.6,Польша,Фотообои For Wall 3144P8,Фотообои For Wall 3144P8,"Фотообои «For Wall», бумажные, 368×254 см, 90050936",1ad1251d-0df2-11e6-80cb-005056011608,города,,бумага,бумага,,,,,For Wall,,,2.54,3.68
"Фотообои на бумаге 2,54м*1,84м арт 253P4 (2части)",90051030,253P4,ООО Соло Декор,"<p>Фотообои на бумаге 253P4 торговой марки For Wall производят из прочных экологически чистых материалов, пропускающих воздух и исключающих растягивание полотна при нанесении клея. Детализированный рисунок получают путем применения современной технологии печати, которая способствует устойчивости красителей к потере цвета под воздействием негативных внешних факторов. Два элемента одинакового размера фиксируют на стене встык и разглаживают мягким валиком, что помогает устранить складки и другие неровности. Покрытие оптимально для зонирования жилых комнат и сочетается с однотонными обоями-компаньонами или отделочными материалами с рельефной фактурой.<p>",For Wall,5901383469635,0.18,0.26,1.15,1,Польша,Фотообои For Wall 253P4,Фотообои For Wall 253P4,"Фотообои «For Wall», бумажные, 254×184 см, 90051030",e6a1b945-0d2d-11e6-80cb-005056011608,музыка,,бумага,бумага,,,,,For Wall,,,1.84,2.54
Фотообои на флизелине 3.68м*2.54м арт 3043V8 (4части),90050881,3043V8,ООО Соло Декор,"<p>Фотообои на флизелине 3043V8, представленные брендом For Wall, выполнены из плотного прочного полотна, которое не подвержено усадке и не деформируется при контакте с влагой. Контрастный, хорошо детализированный рисунок выполнен латексными красками, устойчивыми к воздействию солнечных лучей. Абстрактное яркое глянцевое изображение оптимально подойдет для помещений любого назначения. Четыре составные части, входящие в комплект, сопоставляются четко встык. Клей наносят на стену. Полотно хорошо очищается при помощи сухой уборки, также его можно протирать слегка влажной тканью или губкой.</p>",For Wall,5902066440118,0.18,0.26,1.15,1.85,Польша,Фотообои For Wall 3043V8,Фотообои For Wall 3043V8,"Фотообои «For Wall», флизелиновые, 368×254 см, 90050881",1a9c0f2f-ea07-11e6-81d9-005056011608,модерн,,флизелин,флизелин,,,,,For Wall,,,2.54,3.68
Фотообои на флизелине 3.68м*2.54м арт 10065V8 (4части),90051107,10065V8,ООО Соло Декор,"<p>Фотообои на флизелине 10065V8 бренда For Wall изготавливают из прессованных волокон целлюлозы, в результате чего образуется прочное износостойкое полотно, которое можно очищать с помощью пылесоса или влажной салфетки. В процессе производства используют высококачественные материалы, исключающие растягивание покрытия при наклеивании и образование пузырей. Рабочая поверхность не требует специальной подготовки: достаточно нанести связующий состав и встык зафиксировать составные элементы. Фактурные обои скроют неровности стен, небольшие трещины и шероховатости, а также позволят зонировать жилые помещения.</p>",For Wall,5902066426525,0.18,0.26,1.15,1.85,Польша,Фотообои For Wall 10065V8,Фотообои For Wall 10065V8,"Фотообои «For Wall», флизелиновые, 368×254 см, 90051107",ccc2181a-e4c6-11e7-8338-005056011608,узоры,,флизелин,флизелин,,,,,For Wall,,,2.54,3.68
Фотообои на бумаге3.68м*2.54м арт 172P8 (4части),90050883,172P8,ООО Соло Декор,"<p>Фотообои на бумаге 172P8 бренда For Wall производят из экологически чистых материалов, волокна которых пропускают воздух и исключают впитывание неприятных запахов. Четыре одинаковых по размеру элемента наклеивают на стену встык, в результате чего образуется цельное полотно с высокодетализированным рисунком, устойчивым к воздействию прямых солнечных лучей и других негативных внешних факторов. Покрытие не деформируется при нанесении связующего вещества и без проблем разглаживается с целью ровной фиксации на рабочей поверхности. Бумажные обои оптимальны для зонирования пространства жилых комнат, кабинетов и помещений с низким уровнем влажности.</p>",For Wall,5901383481729,0.18,0.26,1.15,1.6,Польша,Фотообои For Wall 172P8,Фотообои For Wall 172P8,"Фотообои «For Wall», бумажные, 368×254 см, 90050883",3c7c57ad-0d5f-11e6-80cb-005056011608,города,,бумага,бумага,,,,,For Wall,,,2.54,3.68
Фотообои на флизелине 3.68м*2.54м арт 10121V8 (4части),90050889,10121V8,ООО Соло Декор,"<p>Фотообои на флизелине 10121V8 бренда For Wall имеют рельефную фактуру, которая позволяет скрыть незначительные неровности стен. Материал из волокон целлюлозы не растягивается в процессе наклеивания, исключает образование разрывов и без проблем очищается слегка влажной салфеткой. Чтобы зафиксировать полотно, необходимо нанести на рабочую поверхность связующее вещество и аккуратно состыковать составные части. Покрытие сохраняет насыщенный цвет даже при воздействии прямых солнечных лучей и других негативных факторов внешней среды, чего достигают путем окрашивания обоев по особой технологии с использованием качественных пигментов.</p>",For Wall,5902066715810,0.18,0.26,1.15,1.85,Польша,Фотообои For Wall 10121V8,Фотообои For Wall 10121V8,"Фотообои «For Wall», флизелиновые, 368×254 см, 90050889",14ef55e8-e4c8-11e7-8338-005056011608,узоры,,флизелин,флизелин,,,,,For Wall,,,2.54,3.68
